City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Bengkulu,ID,-3.8,102.27,87.28,57,33,7.9,scattered clouds
84,Komsomolskiy,UZ,40.43,71.72,84.2,28,0,4.7,clear sky
85,Mossendjo,CG,-2.95,12.73,67.69,94,100,2.75,overcast clouds
86,Zeya,RU,53.75,127.27,57.78,91,100,4.52,light rain
87,Mahajanga,MG,-15.72,46.32,69.8,68,68,4.7,broken clouds
88,College,US,64.86,-147.8,62.01,82,75,6.93,moderate rain
89,Caravelas,BR,-17.71,-39.25,69.22,79,88,11.34,light rain
90,Tocopilla,CL,-22.09,-70.2,58.33,63,38,2.64,scattered clouds
91,Sao Filipe,CV,14.9,-24.5,79.32,85,85,14.81,overcast clouds
92,Kandi,BJ,11.13,2.94,71.8,97,100,4.85,light rain
93,Yellowknife,CA,62.46,-114.35,55.0,81,40,2.1,scattered clouds
94,Vardo,NO,70.37,31.11,53.6,100,75,8.05,broken clouds
95,Maputo,MZ,-25.97,32.59,62.6,67,0,9.17,clear sky
96,Hithadhoo,MV,-0.6,73.08,82.42,78,98,10.51,moderate rain
97,San Antonio,US,29.42,-98.49,84.99,54,1,10.29,clear sky
98,Port Elizabeth,ZA,-33.92,25.57,57.2,100,75,8.05,light intensity drizzle
99,Arraial Do Cabo,BR,-22.97,-42.03,67.05,61,9,8.32,clear sky
100,East London,ZA,-33.02,27.91,51.8,87,100,5.82,overcast clouds
101,Hobart,AU,-42.88,147.33,48.99,70,75,8.05,light intensity shower rain
102,Turkistan,KZ,43.0,68.0,93.07,13,87,13.8,overcast clouds
103,Upernavik,GL,72.79,-56.15,43.56,82,100,1.72,overcast clouds
104,Krasnorechenskiy,RU,44.63,135.35,75.63,61,99,9.42,light rain
105,Douglas,US,41.3,-96.17,80.6,78,1,3.36,clear sky
106,Hilo,US,19.73,-155.09,80.6,74,90,6.93,overcast clouds
107,Alofi,NU,-19.06,-169.92,78.8,74,75,13.87,broken clouds
108,Mareeba,AU,-17.0,145.43,82.0,35,63,5.99,broken clouds
109,Lavrentiya,RU,65.58,-171.0,48.65,91,100,5.61,overcast clouds
110,Tasiilaq,GL,65.61,-37.64,33.8,100,4,6.93,clear sky
111,Laiya,PH,13.68,121.39,87.01,77,100,5.01,overcast clouds
112,Nianzishan,CN,47.52,122.88,77.2,59,43,3.09,scattered clouds
113,Mehran,IR,33.12,46.16,71.6,28,0,3.98,clear sky
114,Volyne,CZ,49.17,13.89,50.0,94,8,3.6,clear sky
115,Juneau,US,58.3,-134.42,57.0,93,90,6.93,light rain
116,Qaanaaq,GL,77.48,-69.36,36.39,89,100,0.27,overcast clouds
117,Karasjok,NO,69.47,25.51,55.4,71,75,41.38,broken clouds
118,Manggar,ID,-2.88,108.27,84.13,71,98,12.66,overcast clouds
119,Aktau,KZ,43.65,51.2,68.0,68,60,6.71,broken clouds
120,Ewo,CG,-0.87,14.82,73.99,81,93,4.12,overcast clouds
121,Constitucion,CL,-35.33,-72.42,50.58,83,100,14.47,overcast clouds
122,Verkhnyaya Inta,RU,65.98,60.31,53.94,58,0,2.75,clear sky
123,Kapaa,US,22.08,-159.32,82.4,69,1,10.29,clear sky
124,Padang,ID,-0.95,100.35,86.85,61,50,3.53,scattered clouds
125,La Ronge,CA,55.1,-105.28,59.0,82,75,3.36,broken clouds
126,Codajas,BR,-3.84,-62.06,74.1,59,0,1.72,clear sky
127,Esperance,AU,-33.87,121.9,60.8,77,40,11.41,scattered clouds
128,Qax,AZ,41.42,46.92,60.8,87,75,2.24,broken clouds
129,Grenville,GD,12.12,-61.62,80.6,88,20,10.04,few clouds
130,Banikoara,BJ,11.3,2.44,72.18,95,100,6.08,light rain
131,Buchanan,LR,5.88,-10.05,75.87,84,81,10.07,broken clouds
132,Yar-Sale,RU,66.83,70.83,56.14,82,86,13.24,overcast clouds
133,Olafsvik,IS,64.89,-23.71,49.37,73,17,3.0,few clouds
134,Iztapa,GT,13.93,-90.71,77.61,88,100,4.99,light rain
135,Hay River,CA,60.82,-115.8,53.6,93,75,4.7,broken clouds
136,Victoria,HK,22.29,114.16,90.0,62,20,6.93,few clouds
137,Sechura,PE,-5.56,-80.82,61.63,81,0,8.97,clear sky
138,Portland,US,45.52,-122.68,73.99,53,20,9.17,few clouds
139,Magadan,RU,59.57,150.8,52.34,50,15,7.81,few clouds
140,Saint-Philippe,RE,-21.36,55.77,72.0,49,39,8.05,scattered clouds
